vertexUrn	orcaUrn	graphUrn	sequence	posUrn	label
urn:cite2:fufolio:vertices.v1:20170218095912939_1_51	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	51	urn:cite2:fufolio:partsOfSpeech.v1:363	{κατὰ}
urn:cite2:fufolio:vertices.v1:20170218095912940_1_52	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	52	urn:cite2:fufolio:partsOfSpeech.v1:266	{δάκρυον}
urn:cite2:fufolio:vertices.v1:20170218095912941_1_53	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	53	urn:cite2:fufolio:partsOfSpeech.v1:1079	{εἶβεν}
urn:cite2:fufolio:vertices.v1:20170218095912942_1_54	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	54	urn:cite2:fufolio:partsOfSpeech.v1:365	{,}
urn:cite2:fufolio:vertices.v1:20170218095912942_1_55	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	55	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτ᾽
urn:cite2:fufolio:vertices.v1:20170218095912943_1_56	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	56	urn:cite2:fufolio:partsOfSpeech.v1:363	ἐπὶ
urn:cite2:fufolio:vertices.v1:20170218095912943_1_57	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	57	urn:cite2:fufolio:partsOfSpeech.v1:233	πλευρὰς
urn:cite2:fufolio:vertices.v1:20170218095912944_1_58	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	58	urn:cite2:fufolio:partsOfSpeech.v1:707	κατακείμενος
urn:cite2:fufolio:vertices.v1:20170218095912945_1_60	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	60	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτε
urn:cite2:fufolio:vertices.v1:20170218095912945_1_61	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	61	urn:cite2:fufolio:partsOfSpeech.v1:144	δ᾽
urn:cite2:fufolio:vertices.v1:20170218095912946_1_62	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	62	urn:cite2:fufolio:partsOfSpeech.v1:144	αὖτε
urn:cite2:fufolio:vertices.v1:20170218095912946_1_63	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	63	urn:cite2:fufolio:partsOfSpeech.v1:118	ὕπτιος
urn:cite2:fufolio:vertices.v1:20170218095912947_1_65	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	65	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτε
urn:cite2:fufolio:vertices.v1:20170218095912947_1_66	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	66	urn:cite2:fufolio:partsOfSpeech.v1:144	δὲ
urn:cite2:fufolio:vertices.v1:20170218095912948_1_67	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	67	urn:cite2:fufolio:partsOfSpeech.v1:118	πρηνής
urn:cite2:fufolio:vertices.v1:20170218095912948_1_68	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Default	68	urn:cite2:fufolio:partsOfSpeech.v1:365	·
urn:cite2:fufolio:vertices.v1:20170218095912644_1_1	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_3_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	1	urn:cite2:fufolio:partsOfSpeech.v1:144	αὐτὰρ
urn:cite2:fufolio:vertices.v1:20170218095912644_1_2	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_3_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	2	urn:cite2:fufolio:partsOfSpeech.v1:264	Ἀχιλλεὺς
urn:cite2:fufolio:vertices.v1:20170218095912645_1_3	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	3	urn:cite2:fufolio:partsOfSpeech.v1:1079	κλαῖε
urn:cite2:fufolio:vertices.v1:20170218095912646_1_4	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	4	urn:cite2:fufolio:partsOfSpeech.v1:115	φίλου
urn:cite2:fufolio:vertices.v1:20170218095912646_1_5	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	5	urn:cite2:fufolio:partsOfSpeech.v1:263	ἑτάρου
urn:cite2:fufolio:vertices.v1:20170218095912647_1_6	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	6	urn:cite2:fufolio:partsOfSpeech.v1:744	μεμνημένος
urn:cite2:fufolio:vertices.v1:20170218095912648_1_8	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_6a_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	8	urn:cite2:fufolio:partsOfSpeech.v1:139	【οὐ】δέ
urn:cite2:fufolio:vertices.v1:20170218095912650_1_10	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	10	urn:cite2:fufolio:partsOfSpeech.v1:362	μιν
urn:cite2:fufolio:vertices.v1:20170218095912651_1_11	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_4_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	11	urn:cite2:fufolio:partsOfSpeech.v1:264	ὕπνος
urn:cite2:fufolio:vertices.v1:20170218095912651_1_12	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	12	urn:cite2:fufolio:partsOfSpeech.v1:1079	ᾕρει
urn:cite2:fufolio:vertices.v1:20170218095912652_1_13	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	13	urn:cite2:fufolio:partsOfSpeech.v1:264	πανδαμάτωρ
urn:cite2:fufolio:vertices.v1:20170218095912653_1_15	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	15	urn:cite2:fufolio:partsOfSpeech.v1:144	ἀλλ᾽
urn:cite2:fufolio:vertices.v1:20170218095912654_1_16	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	16	urn:cite2:fufolio:partsOfSpeech.v1:1080	ἐστρέφετ᾽
urn:cite2:fufolio:vertices.v1:20170218095912655_1_17	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	17	urn:cite2:fufolio:partsOfSpeech.v1:144	ἔνθα
urn:cite2:fufolio:vertices.v1:20170218095912657_1_18	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	18	urn:cite2:fufolio:partsOfSpeech.v1:139	καὶ
urn:cite2:fufolio:vertices.v1:20170218095912658_1_19	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_5_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	19	urn:cite2:fufolio:partsOfSpeech.v1:144	ἔνθα
urn:cite2:fufolio:vertices.v1:20170218095912660_1_21	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	21	urn:cite2:fufolio:partsOfSpeech.v1:263	{Πατρόκλου}
urn:cite2:fufolio:vertices.v1:20170218095912661_1_23	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	23	urn:cite2:fufolio:partsOfSpeech.v1:255	{ἀνδροτῆτά}
urn:cite2:fufolio:vertices.v1:20170218095912662_1_24	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	24	urn:cite2:fufolio:partsOfSpeech.v1:139	{τε}
urn:cite2:fufolio:vertices.v1:20170218095912662_1_25	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	25	urn:cite2:fufolio:partsOfSpeech.v1:139	{καὶ}
urn:cite2:fufolio:vertices.v1:20170218095912663_1_26	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	26	urn:cite2:fufolio:partsOfSpeech.v1:268	{μένος}
urn:cite2:fufolio:vertices.v1:20170218095912664_1_28	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_6_9_8	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	28	urn:cite2:fufolio:partsOfSpeech.v1:365	{,}
urn:cite2:fufolio:vertices.v1:20170218095912665_1_30	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	30	urn:cite2:fufolio:partsOfSpeech.v1:139	{ἠδ᾽}
urn:cite2:fufolio:vertices.v1:20170218095912666_1_32	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	32	urn:cite2:fufolio:partsOfSpeech.v1:1051	{τολύπευσε}
urn:cite2:fufolio:vertices.v1:20170218095912667_1_33	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	33	urn:cite2:fufolio:partsOfSpeech.v1:363	{σὺν}
urn:cite2:fufolio:vertices.v1:20170218095912668_1_34	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	34	urn:cite2:fufolio:partsOfSpeech.v1:315	{αὐτῷ}
urn:cite2:fufolio:vertices.v1:20170218095912668_1_35	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	35	urn:cite2:fufolio:partsOfSpeech.v1:139	{καὶ}
urn:cite2:fufolio:vertices.v1:20170218095912669_1_36	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	36	urn:cite2:fufolio:partsOfSpeech.v1:1051	{πάθεν}
urn:cite2:fufolio:vertices.v1:20170218095912669_1_37	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_7_9_8	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	37	urn:cite2:fufolio:partsOfSpeech.v1:244	{ἄλγεα}
urn:cite2:fufolio:vertices.v1:20170218095912670_1_39	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_8_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	39	urn:cite2:fufolio:partsOfSpeech.v1:241	{ἀνδρῶν}
urn:cite2:fufolio:vertices.v1:20170218095912671_1_40	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_8_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	40	urn:cite2:fufolio:partsOfSpeech.v1:139	{τε}
urn:cite2:fufolio:vertices.v1:20170218095912672_1_41	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_8_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	41	urn:cite2:fufolio:partsOfSpeech.v1:239	{πτολέμους}
urn:cite2:fufolio:vertices.v1:20170218095912673_1_43	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_8_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	43	urn:cite2:fufolio:partsOfSpeech.v1:139	{τε}
urn:cite2:fufolio:vertices.v1:20170218095912674_1_44	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_8_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	44	urn:cite2:fufolio:partsOfSpeech.v1:244	{κύματα}
urn:cite2:fufolio:vertices.v1:20170218095912676_1_48	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	48	urn:cite2:fufolio:partsOfSpeech.v1:301	{τῶν}
urn:cite2:fufolio:vertices.v1:20170218095912678_1_51	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	51	urn:cite2:fufolio:partsOfSpeech.v1:363	{κατὰ}
urn:cite2:fufolio:vertices.v1:20170218095912678_1_52	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	52	urn:cite2:fufolio:partsOfSpeech.v1:266	{δάκρυον}
urn:cite2:fufolio:vertices.v1:20170218095912679_1_53	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	53	urn:cite2:fufolio:partsOfSpeech.v1:1079	{εἶβεν}
urn:cite2:fufolio:vertices.v1:20170218095912680_1_54	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_9_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	54	urn:cite2:fufolio:partsOfSpeech.v1:365	{,}
urn:cite2:fufolio:vertices.v1:20170218095912681_1_55	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	55	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτ᾽
urn:cite2:fufolio:vertices.v1:20170218095912681_1_56	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	56	urn:cite2:fufolio:partsOfSpeech.v1:363	ἐπὶ
urn:cite2:fufolio:vertices.v1:20170218095912682_1_57	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	57	urn:cite2:fufolio:partsOfSpeech.v1:233	πλευρὰς
urn:cite2:fufolio:vertices.v1:20170218095912682_1_58	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	58	urn:cite2:fufolio:partsOfSpeech.v1:707	κατακείμενος
urn:cite2:fufolio:vertices.v1:20170218095912683_1_60	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	60	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτε
urn:cite2:fufolio:vertices.v1:20170218095912683_1_61	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	61	urn:cite2:fufolio:partsOfSpeech.v1:144	δ᾽
urn:cite2:fufolio:vertices.v1:20170218095912684_1_62	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_10_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	62	urn:cite2:fufolio:partsOfSpeech.v1:144	αὖτε
urn:cite2:fufolio:vertices.v1:20170218095912684_1_63	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	63	urn:cite2:fufolio:partsOfSpeech.v1:118	ὕπτιος
urn:cite2:fufolio:vertices.v1:20170218095912685_1_65	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	65	urn:cite2:fufolio:partsOfSpeech.v1:144	ἄλλοτε
urn:cite2:fufolio:vertices.v1:20170218095912686_1_66	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	66	urn:cite2:fufolio:partsOfSpeech.v1:144	δὲ
urn:cite2:fufolio:vertices.v1:20170218095912687_1_67	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	67	urn:cite2:fufolio:partsOfSpeech.v1:118	πρηνής
urn:cite2:fufolio:vertices.v1:20170218095912688_1_68	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_24_11_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad24Nicanor	68	urn:cite2:fufolio:partsOfSpeech.v1:365	·
